"Operational State,""WDM Connection Type"",""Name"",""Shape"",""Implementation State"",""Working State"",""From NE/Port #1"",""To NE/Port #1"",""Alarm Status"",""Direction"",""Flex Grid Capable"",""Band"",""NPA Name"",""Protection"",""Commissioned Status"",""Service State"",""Administrative State"",""OLC State"",""Client Signal Type"",""RX Frequency"",""TX Frequency"",""ASAP Name"",""Inter Shelf"",""Span Type"",""Cluster"",""Grid Type"",""A-Z Span Loss C"",""Z-A Span Loss C"",""A-Z Span Loss L"",""Z-A Span Loss L"",""Last Calculated Span Loss Date"",""Definition Time"",""SRG Present"",""Link Type"",""Latency (microsec.)"",""3Ê³áµˆ Party Network Name"",""3Ê³áµˆ Party Network Description"",""From NE/Port #2"",""Access Control Domain"",""OTDR Summary"",""OTDR Scan Status"",""OTDR Supported"",""Dark Fiber Associated"",""To NE/Port #2"",""Fiber Route Associated"",""Latest Note"",""ASAP"",""% Low Utilization Threshold"",""% High Utilization Threshold"",""Repeater"",""% Utilization"",""ASELL Status"",""Utilization Profile"",""Audit State"",""Allocation Cost"",""Subsea"""
"Up,""OTS"",""A32-R-0000060053-01/A32-R-0000062281-01/SFRW07791/OTDR-P7"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000060053-01/IROADM-1-7-LINEOUT"",""A32-R-0000062281-01/AHPLG-2-2-LINE"",""Cleared"",""Bidirectional"",""No"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""6.61"",""7.02"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Tue Sep 14 2021 01:09:57 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""133"",""Intrusion OK"",""Att A-B 6.6 B-A 7.9"",""A32-R-0000062281-01/AHPLG-2-2-LINE"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000060053-01/IROADM-1-7-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""2.08"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000061434-01/A32-R-0000060053-01/SFRW31651/OTDR-P8"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000060053-01/IROADM-4-7-LINEOUT"",""A32-R-0000061434-01/IROADM-2-2-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""1.49"",""1.64"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Wed Sep 15 2021 00:58:11 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""10000"",""Intrusion OK"",""Att A-B 2 B-A 1.5"",""A32-R-0000061434-01/IROADM-2-2-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000060053-01/IROADM-4-7-LINEIN"",""True"","" "",""Enabled"",""50"",""80"",""False"",""3.13"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000061837-01/A32-R-0000060053-01/SFRW07793/OTDR-P9"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000061837-01/IROADM-1-7-LINEOUT"",""A32-R-0000060053-01/IROADM-2-7-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""13.48"",""10.43"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Fri Sep 17 2021 01:01:16 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""127"",""Intrusion OK"",""Att A-B 11.5 B-A 14"",""A32-R-0000060053-01/IROADM-2-7-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000061837-01/IROADM-1-7-LINEIN"",""True"","" "",""Enabled"",""50"",""80"",""False"",""21.88"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000062369-01/A32-R-0000060053-01/SFRW07825/OTDR-P5"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000062369-01/IROADM-2-7-LINEOUT"",""A32-R-0000060053-01/IROADM-3-7-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""Not In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""6"",""5.88"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Tue Sep 21 2021 01:40:25 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""88"",""Intrusion OK"",""Att A-B 6 B-A 5.6"",""A32-R-0000060053-01/IROADM-3-7-LINEOUT"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000062369-01/IROADM-2-7-LINEIN"",""True"","" "",""Enabled"",""50"",""80"",""False"",""22.92"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000133747-01/A32-R-0000133887-01/SFRW20529/OTDR-P7"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000133887-01/IROADM-1-3-LINEOUT"",""A32-R-0000133747-01/IROADM-2-3-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""11.22"",""10.62"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Tue Apr 20 2021 00:26:04 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""162"",""Intrusion OK"",""Att A-B 11.7 B-A 11.3"",""A32-R-0000133747-01/IROADM-2-3-LINEOUT"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000133887-01/IROADM-1-3-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""10.42"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000133750-01/A32-R-0000130014-01/SFRW07815/OTDR-P7"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000133750-01/IROADM-1-16-LINEOUT"",""A32-R-0000130014-01/IROADM-2-17-LINEIN"",""Cleared"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""7.16"",""8.28"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Fri Apr 07 2023 01:43:09 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""54"",""Intrusion OK"",""Att A-B 8.2 B-A 7.3"",""A32-R-0000130014-01/IROADM-2-17-LINEOUT"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000133750-01/IROADM-1-16-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""12.5"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000133750-01/A32-R-0000133752-01/SFRW13083/OTDR-P2"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000133750-01/IROADM-3-17-LINEOUT"",""A32-R-0000133752-01/A2325A-1-2-LINE"",""Minor"",""Bidirectional"",""No"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""25.94"",""24.02"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Fri Apr 07 2023 01:43:09 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""544"",""Intrusion OK"",""Att A-B 25.6 B-A 26.8"",""A32-R-0000133752-01/A2325A-1-2-LINE"",""unknown unknown"",""No Fibercut"",""Success"",""True"",""False"",""A32-R-0000133750-01/IROADM-3-17-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""10.23"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000133750-01/A32-R-0000133879-01/LDOS9351/OTDR-P8"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000133750-01/IROADM-4-13-LINEOUT"",""A32-R-0000133879-01/A2325A-1-2-LINE"",""Cleared"",""Bidirectional"",""No"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""25.5"",""23.47"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Thu Apr 13 2023 23:42:36 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""382"",""Intrusion OK"",""Att A-B 26.1 B-A 25.6"",""A32-R-0000133879-01/A2325A-1-2-LINE"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000133750-01/IROADM-4-13-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""4.55"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000133750-01/A32-R-0000133963-01/SFRW07755/OTDR-P3"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000133750-01/IROADM-2-15-LINEOUT"",""A32-R-0000133963-01/AHPLG-1-2-LINE"",""Cleared"",""Bidirectional"",""No"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""14.35"",""13.77"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Fri Apr 07 2023 01:43:09 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""240"",""Intrusion OK"",""Att A-B 15 B-A 14.4"",""A32-R-0000133963-01/AHPLG-1-2-LINE"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000133750-01/IROADM-2-15-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""15.91"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
"Up,""OTS"",""A32-R-0000134426-01/A32-R-0000133750-01/SFRW44463/OTDR-P9"",""Four Ended"",""Implemented"",""Normal"",""A32-R-0000134426-01/IROADM-1-2-LINEOUT"",""A32-R-0000133750-01/IROADM-1-2-LINEIN"",""Warning"",""Bidirectional"",""Yes"",""C"","""",""Unprotected"",""Commissioned"",""In Service"",""In Service"",""In Service"",""-"","""","""",""default ASAP"",""normal"",""Dual Fiber"",""Normal"",""Standard"",""2.55"",""3.85"",""NA"",""NA"",""Wed Jul 10 2024 02:00:00 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Wed Apr 12 2023 11:53:36 GMT+0200 (heure dâ€™Ã©tÃ© dâ€™Europe centrale)"",""Not Present"",""Legacy"",""15"",""Intrusion OK"",""Att A-B 2.5 B-A 3.8"",""A32-R-0000133750-01/IROADM-1-2-LINEOUT"",""unknown unknown"",""Discrepancy Detected"",""Success"",""True"",""False"",""A32-R-0000134426-01/IROADM-1-2-LINEIN"",""False"","" "",""Enabled"",""50"",""80"",""False"",""1.04"",""NA"",""DEFAULT"",""N/A"",""20"",""False"""
